ID,Hair_Type_Code,Hair_Type_Description,Hair_Porosity,Scalp_Type,Common_Issue,Likely_Cause,Symptoms,Recommended_Solution,Suggested_Treatment,Treatment_Frequency,Severity_Level
1072,3C,Curly - Tight corkscrew curls,Medium Porosity,Combination Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
1073,3C,Curly - Tight corkscrew curls,Medium Porosity,Combination Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1074,3C,Curly - Tight corkscrew curls,Medium Porosity,Combination Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1075,3C,Curly - Tight corkscrew curls,Medium Porosity,Combination Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1076,3C,Curly - Tight corkscrew curls,Medium Porosity,Sensitive Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1077,3C,Curly - Tight corkscrew curls,Medium Porosity,Sensitive Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
1078,3C,Curly - Tight corkscrew curls,Medium Porosity,Sensitive Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
1079,3C,Curly - Tight corkscrew curls,Medium Porosity,Sensitive Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1080,3C,Curly - Tight corkscrew curls,Medium Porosity,Sensitive Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
1081,3C,Curly - Tight corkscrew curls,Medium Porosity,Sensitive Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1082,3C,Curly - Tight corkscrew curls,Medium Porosity,Sensitive Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1083,3C,Curly - Tight corkscrew curls,Medium Porosity,Sensitive Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1084,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1085,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
1086,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
1087,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
1088,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1089,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Anti-frizz serum/cream,Daily as needed,Mild
1090,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1091,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1092,3C,Curly - Tight corkscrew curls,High Porosity,Oily Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1093,3C,Curly - Tight corkscrew curls,High Porosity,Dry Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1094,3C,Curly - Tight corkscrew curls,High Porosity,Dry Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
1095,3C,Curly - Tight corkscrew curls,High Porosity,Dry Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
1096,3C,Curly - Tight corkscrew curls,High Porosity,Dry Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1097,3C,Curly - Tight corkscrew curls,High Porosity,Dry Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1098,3C,Curly - Tight corkscrew curls,High Porosity,Dry Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1099,3C,Curly - Tight corkscrew curls,High Porosity,Dry Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1100,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1101,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
1102,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
1103,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
1104,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1105,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Anti-frizz serum/cream,Daily as needed,Mild
1106,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1107,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1108,3C,Curly - Tight corkscrew curls,High Porosity,Normal Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1109,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1110,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
1111,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
1112,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
1113,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1114,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Anti-frizz serum/cream,Daily as needed,Mild
1115,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1116,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1117,3C,Curly - Tight corkscrew curls,High Porosity,Combination Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1118,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1119,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
1120,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
1121,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Protein treatment + deep conditioning mask,Weekly,Moderate
1122,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1123,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Anti-frizz serum/cream,Daily as needed,Mild
1124,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1125,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1126,3C,Curly - Tight corkscrew curls,High Porosity,Sensitive Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use rich creams, butters, and oils to seal the cuticle; do a protein treatment periodically since high porosity hair loses moisture quickly.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1127,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Oily Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
1128,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Oily Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
1129,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Oily Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
1130,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Oily Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1131,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Oily Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
1132,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Oily Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
